Year,Period,Wolf Control,No. Moose,No. Caribou,No. Wolves,Moose Harvest,Harvest %,Moose Density,Wolf Density,Moose:Wolf Ratio,Caribou:Wolf Ratio,Moose Lambda,Caribou Lambda,Moose Cow:Calf Ratio,Moose Twinning,newtwinning,Caribou Cow:Calf Ratio,Caribou Calf %,Caribou Yearling and Adult Survival,Snow Depth (cm),Total Snowfall (cm),fire
1963,pre-control,no,22605.252,5000,170,284.8261752,1.26,1.732860493,9.9378,132.9720706,29.41176471,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,106540.4847
1964,pre-control,no,23300,NA,NA,263.29,1.13,1.78611918,NA,NA,NA,1.03073392,NA,NA,NA,NA,NA,NA,NA,NA,NA,106540.4847
1965,pre-control,no,22996.572,5000,200,335.7499512,1.46,1.762858693,11.6808,114.98286,25,0.986977339,NA,NA,NA,13,NA,NA,NA,132.08,314.96,106540.4847
1966,pre-control,no,17200,NA,NA,216.72,1.26,1.31849928,NA,NA,NA,0.747937562,NA,NA,NA,13,NA,NA,NA,93.98,261.62,106540.4847
1967,pre-control,no,14504.928,5000,230,292.9995456,2.02,1.111897756,13.4238,63.06490435,21.73913043,0.843309767,NA,NA,NA,13,NA,NA,NA,83.82,182.88,106540.4847
1968,pre-control,no,13000,5000,NA,378.3,2.91,0.99653148,NA,NA,NA,0.896247124,NA,NA,NA,11,NA,NA,NA,73.66,152.4,106540.4847
1969,pre-control,no,12000.48,5000,270,360.0144,3,0.919909276,15.7478,44.44622222,18.51851852,0.923113846,1,NA,NA,18,NA,NA,NA,30.48,91.44,106540.4847
1970,pre-control,no,11800,4500,NA,444.86,3.77,0.90454068,NA,NA,NA,0.983294002,0.9,NA,NA,18,NA,NA,NA,109.22,370.84,106540.4847
1971,pre-control,no,7995.972,4000,270,453.3716124,5.67,0.612927698,15.7478,29.61471111,14.81481481,0.677624746,0.888888889,NA,NA,17,NA,NA,NA,76.2,228.6,102905.3683
1972,pre-control,no,6700,3200,260,696.8,10.4,0.51357978,15.1668,25.76923077,12.30769231,0.837921894,0.8,NA,NA,12,NA,NA,NA,55.88,203.2,102905.2126
1973,pre-control,no,4200.168,2400,NA,778.7111472,18.54,0.321945159,NA,NA,NA,0.626890746,0.75,NA,NA,NA,NA,NA,NA,55.88,124.46,102905.2126
